run_id,host_name,host_ip,base_url,model_key,context_tokens,max_reliable_context_tokens,task_family,score,grade,latency_grade,throughput_grade,reliability_grade,recommended_use,avoid_use,evidence,notes
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,google/gemma-4-12b-qat,,,debugging,0.8025,B,F,D,A,usable with review,avoid interactive or large-output workflows,task=debugging; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=283.106; tps=0.672; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,google/gemma-4-12b-qat,,,agent_planning,0.7136,C,F,D,A,usable with review,avoid interactive or large-output workflows,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8000; ttft=344.961; tps=0.967; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,google/gemma-4-12b-qat,,,long_context,0.5755,C,F,D,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=long_context; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=235.447; tps=0.125; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,google/gemma-4-12b-qat,,,repo_work,0.6546,C,F,D,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=repo_work; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.6667; ttft=284.443; tps=1.235; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,google/gemma-4-12b-qat,,,safety,0.7144,C,F,D,A,usable with review,avoid interactive or large-output workflows,task=safety; ok_rate=1.00; eval_ok_rate=0.50; eval_score=0.8021; ttft=312.086; tps=0.934; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-hermes,,,operational_health,0.6615,C,A,C,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=1.131; tps=9.745; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-hermes,,,structured_output,0.4441,D,A,C,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=1.784; tps=11.761; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-hermes,,,coding,0.8127,B,A,C,A,usable with review,avoid high-risk work unless task-specific checks pass,task=coding; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8333; ttft=1.885; tps=10.057; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-hermes,,,debugging,0.8909,B,A,C,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=debugging; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=1.895; tps=10.909; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784130000,beelink-ryzen-7-mini-pc,192.168.1.241,http://100.85.72.121:1234/v1,vibethinker-3b-hermes,,,agent_planning,0.8016,B,A,C,A,usable with review,avoid high-risk work unless task-specific checks pass,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8000; ttft=1.445; tps=11.097; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
